code;question;option;réponse
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Électricien;18
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Monteur en installation sanitaire;15
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Maçon;14
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Peintre;11
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Technicien de Maintenance des Bâtiments;10
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Installateur thermique;10
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Carreleur-Mosaïste;9
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Plâtrier-Plaquiste;7
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Menuisier Aluminium-Verre;7
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Métiers des énergies renouvelables;6
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Métallier;6
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Installateur et dépanneur en climatisation et conditionnement d’air;6
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Menuisier Fabricant;5
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Études (thermique, topographique...);4
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Domoticien / smart home;4
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Menuisier Installateur;4
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Soudeur;4
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Solier-Moquettiste;3
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Constructeur ouvrage en béton armé;3
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Métiers de l'Encadrement et de la Construction;3
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Canalisateur;2
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Maçon du Bâti Ancien;2
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Ébéniste;2
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Constructeur de Routes;1
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Couvreur zingueur;1
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Agent de Maintenance d'une structure d'Hôtellerie de Plein Air;0
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Ferronnier d'Art;0
Q1;Quels sont, parmi les métiers suivants, ceux auxquels vous préparez vos apprenants ?;Pisciniste;0
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Les incitations financières;22
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;L'impact du secteur du bâtiment;21
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;L'état du marché et ses perspectives;20
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Le comportement bioclimatique des bâtiments;19
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Les principes de la réglementation environnementale;19
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Les conséquences de l'utilisation d'énergie fossile;16
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Les engagements pris en matière de performance énergétique;16
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;L'économie circulaire et les notions de cycle de vie;16
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Les consommations énergétiques;16
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Le comportement thermique des enveloppes;15
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Le comportement hygrothermique des enveloppes;15
Q10;Quels sont, parmi les thèmes suivants, ceux pour lesquels vous estimez manquer de ressources pédagogiques ?;Les équipements des bâtiments;11
Q2;Quels sont, parmi les niveaux de formation suivants, ceux auxquels vous préparez vos apprenants ?;Niveau 3 : CAP, BEP;38
Q2;Quels sont, parmi les niveaux de formation suivants, ceux auxquels vous préparez vos apprenants ?;Niveau 4 : Baccalauréat, DAEU, Capacité en droit, DSP;20
Q2;Quels sont, parmi les niveaux de formation suivants, ceux auxquels vous préparez vos apprenants ?;Niveau 5 : DEUG, BTS, DUT, DEUST;13
Q3;Avez-vous suivi les modules de formation FEEBAT à destination des formateurs ?;Non;28
Q3;Avez-vous suivi les modules de formation FEEBAT à destination des formateurs ?;Oui;15
Q4;Selon vous, quelle est l'importance de la rénovation énergétique pour les métiers auxquels vous préparez vos apprenants ?;4;25
Q4;Selon vous, quelle est l'importance de la rénovation énergétique pour les métiers auxquels vous préparez vos apprenants ?;3;14
Q4;Selon vous, quelle est l'importance de la rénovation énergétique pour les métiers auxquels vous préparez vos apprenants ?;1;2
Q4;Selon vous, quelle est l'importance de la rénovation énergétique pour les métiers auxquels vous préparez vos apprenants ?;2;2
Q5;Comment jugez-vous vos compétences en matière de rénovation énergétique ?;3;21
Q5;Comment jugez-vous vos compétences en matière de rénovation énergétique ?;2;11
Q5;Comment jugez-vous vos compétences en matière de rénovation énergétique ?;1;6
Q5;Comment jugez-vous vos compétences en matière de rénovation énergétique ?;4;5
Q6;Comment jugez-vous l'intérêt de vos apprenants pour la rénovation énergétique?;2;19
Q6;Comment jugez-vous l'intérêt de vos apprenants pour la rénovation énergétique?;3;15
Q6;Comment jugez-vous l'intérêt de vos apprenants pour la rénovation énergétique?;1;6
Q6;Comment jugez-vous l'intérêt de vos apprenants pour la rénovation énergétique?;4;3
Q7;Avez-vous intégré la rénovation énergétique dans vos programmes pédagogiques à destination des apprenants ?;Oui;23
Q7;Avez-vous intégré la rénovation énergétique dans vos programmes pédagogiques à destination des apprenants ?;Non;20
Q8;Parmi les ressources pédagogiques suivantes, lesquelles avez-vous déployées auprès de vos apprenants ?;Aucune;11
